codigo,descripcion
1620002009900,"Sal mineral, n.c.p."
1620003000000,Agua de mar
1631000000100,"Piedras preciosas (incluso diamantes, excepto los industriales) y semipreciosas, sin elaborar o simplemente aserradas; sin clasificar"
1631000009900,"Piedras preciosas (incluso diamantes, excepto los industriales) y semipreciosas, sin elaborar o simplemente aserradas, n.c.p."
1632001000000,"Diamantes industriales, sin librar o simplemente aserrados o hendidos"
1632002000100,"Piedra pómez, de uso agrícola"
1632002000200,"Piedra pómez, de uso odontológico"
1632002009900,"Piedra pómez, n.c.p."
1632003000000,Esmeril
1632004000000,Corindón natural y granate natural
1632099000000,Abrasivos naturales n.c.p.
1633001000000,Creta (tiza)
1633002000000,Dolomita
1639001000000,Grafito natural
1639002000000,Cuarzo
1639003000000,"Tierra de infusorios ""V.G. Kieselguhr"""
1639004000000,Carbonato de magnesio natural (magnesita)
1639005000000,Amianto (asbesto)
1639006000000,Mica
1639007000100,"Esteatita natural, sin triturar ni pulverizar"
1639007000200,"Esteatita natural, triturados o pulverizados"
1639008000000,Feldespato
1639009000000,Leucita; nefelina y nefelina sienita
1639010000000,"Vermiculita, perlita y cloritas, sin dilatar"
1639099000000,"Minerales, n.c.p."
1710000000000,Energía eléctrica
1720000000000,"Gas de carbón (hulla), gas de agua, gas pobre y gases similares, excepto gases de petróleo y otros hidrocarburos gaseosos"
1730000000000,Vapor y agua caliente
1740001000000,Hielo
1740002000000,Nieve
1800000000000,Agua natural
2111100010000,"Carne de res en canales o medios canales, fresca o refrigerada"
2111100020100,"Costilla de res sin adobar ni condimentar, fresca o refrigerada"
2111100020200,"Carne de res, cortes finos (incluyendo ""prime and choice"") sin deshuesar, sin adobar ni condimentar, frescos o refrigerados, ej. t-bone, porterhouse"
2111100020300,"Carne de res sin deshuesar, adobada o condimentada, fresca o refrigerada"
2111100029900,"Carne de res sin deshuesar, fresca o refrigerada, n.c.p."
2111100030100,"Carne molida de res, fresca o refrigerada"
2111100030200,"Cecina, quititeña, gallinita u otra carne para desmechar de res, sin adobar ni condimentar, fresca o refrigerada"
2111100030300,"Bistec, posta o trocitos de res, sin adobar ni condimentar, frescos o refrigerados"
2111100030400,"Carne de res certificada ""prime y choice"" deshuesada, sin adobar ni condimentar, fresca o refrigerada"
2111100030500,"Carne de res, cortes finos deshuesados, sin adobar ni condimentar, frescos o refrigerados, ej. lomo, lomito y sus derivados (delmónico o ribeye y sirloin)"
2111100030600,"Carne de res deshuesada, adobada o condimentada, fresca o refrigerada"
2111100039900,"Carne de res deshuesada, fresca o refrigerada, n.c.p."
2111200010000,"Carne de búfalo en canales o medios canales, fresca o refrigerada"
2111200020100,"Carne de búfalo, cortes finos (incluyendo ""prime and choice"") sin deshuesar, frescos o refrigerados"
2111200029900,"Carne de búfalo sin deshuesar, fresca o refrigerada, n.c.p."
2111200030000,"Carne de búfalo deshuesada, fresca o refrigerada"
2111300010000,"Carne de cerdo en canales o medios canales, fresca o refrigerada"
2111300020100,"Chuleta de cerdo sin adobar ni condimentar, fresca o refrigerada"
2111300020200,"Costilla de cerdo sin adobar ni condimentar, fresca o refrigerada"
2111300020300,"Carne de cerdo sin deshuesar, adobada o condimentada, fresca o refrigerada"
2111300029900,"Carne de cerdo sin deshuesar, sin adobar ni condimentar, fresca o refrigerada, n.c.p."
2111300030100,"Carne de cerdo, cortes finos deshuesados, sin adobar ni condimentar, frescos o refrigerados, ej. lomo y lomito de cerdo"
2111300030200,"Bistec, posta de cerdo o trocitos de cerdo, deshuesados, sin adobar ni condimentar, frescos o refrigerados"
2111300030300,"Carne de cerdo deshuesada, adobada o condimentada, fresca o refrigerada"
2111300039900,"Carne de cerdo deshuesada, sin adobar ni condimentar, frescos o refrigerados, n.c.p."
2111400000000,"Carne de conejo y liebre, fresca o refrigerada"
2111501010000,"Carne de cordero en canales o medios canales, fresca o refrigerada"
2111501020100,"Carne de cordero, cortes finos sin deshuesar, frescos o refrigerados"
2111501029900,"Carne de cordero sin deshuesar, fresca o refrigerada, n.c.p."
2111501030000,"Carne de cordero deshuesada, fresca o refrigerada"
2111599010000,"Carne de ovino en canal, fresca o refrigerada, excepto cordero"
2111599020000,"Carne de ovinos sin deshuesar, fresca o refrigerada, excepto cordero"
2111599030000,"Carne de ovinos deshuesada, fresca o refrigerada, excepto cordero"
2111600000000,"Carne de cabra, fresca o refrigerada"
2111800000000,"Carne de caballo y otros equinos, fresca o refrigerada"
2111900000000,"Carne de mamíferos, fresca o refrigerada, n.c.p."
2112100010000,"Pollo entero, sin adobar ni condimentar, fresco o refrigerado"
2112100020100,"Pechuga de pollo sin deshuesar, sin adobar ni condimentar, fresca o refrigerada"
2112100020200,"Alas de pollo sin adobar ni condimentar, frescas o refrigeradas (incluye el muslo)"
2112100020300,"Muslos y piernas de pollo, sin piel, sin adobar ni condimentar, frescos o refrigerados"
2112100020400,"Muslos y piernas de pollo, con piel, sin adobar ni condimentar, frescos o refrigerados"
2112100020500,"Muslos y piernas de pollo que incluyan en su presentación otros trozos, incluso unidos, sin adobar ni condimentar, frescos o refrigerados"
2112100020600,"Muslitos de pierna de pollo, sin adobar ni condimentar, frescos o refrigerados"
2112100020700,"Pollo sin deshuesar, adobado o condimentado, fresco o refrigerado"
2112100030100,"Pechuga de pollo deshuesada, sin adobar ni condimentar, fresca o refrigerada"
2112100030200,"Muslos de pollo deshuesados, sin adobar ni condimentar, frescos o refrigerados"
2112100030300,"Trocitos de pollo (pechuga o muslo) deshuesados, sin adobar ni condimentar, frescos o refrigerados"
2112100030400,"Pollo deshuesado, adobado o condimentado, fresco o refrigerado"
2112200010000,"Pato entero, fresco o refrigerado"
2112200020000,"Carne de pato sin deshuesar, fresca o refrigerada"
2112200030000,"Carne de pato deshuesada, fresca o refrigerada"
2112300010000,"Ganso entero, fresco o refrigerado"
2112300020000,"Carne de ganso sin deshuesar, fresca o refrigerada"
2112300030000,"Carne de ganso deshuesada, fresca o refrigerada"
2112400010000,"Pavo entero, fresco o refrigerado"
2112400020000,"Carne de pavo sin deshuesar, fresca o refrigerada"
2112400030000,"Carne de pavo deshuesada, fresca o refrigerada"
2112500010000,"Gallina de guinea entera, fresca o refrigerada"
2112500020000,"Gallina de guinea sin deshuesar, fresca o refrigerada"
2112500030000,"Gallina de guinea deshuesada, fresca o refrigerada"
2113100010000,"Carne de res en canales o medias canales, congelada"
2113100020100,"Costilla de res sin adobar ni condimentar, congelada"
2113100020200,"Carne de res, cortes finos sin deshuesar (incluyendo ""prime and choice""), sin adobar ni condimentar, congelados, ej. t-bone, porterhouse"
2113100020300,"Carne de res sin deshuesar, adobada o condimentada, congelada"
2113100029900,"Carne de res sin deshuesar, congelada, n.c.p."
2113100030100,"Carne molida de res, congelada"
2113100030200,"Cecina, quititeña, gallinita u otra carne para desmechar de res, sin adobar ni condimentar, congelada"
2113100030300,"Bistec, posta o trocitos de res, sin adobar ni condimentar, congelados"
2113100030400,"Carne de res certificada ""prime y choice"" deshuesada, sin adobar ni condimentar, congelada"
2113100030500,"Carne de res, cortes finos deshuesados, sin adobar ni condimentar, congelados, ej. lomo, lomito y sus derivados (delmónico o ribeye y sirloin)"
2113100030600,"Carne de res, deshuesada, adobada o condimentada, congelada"
2113100039900,"Carne de res deshuesada, congelada, n.c.p."
2113200010000,"Carne de búfalo en canales o medias canales, congelada"
2113200020100,"Carne de búfalo, cortes finos (incluyendo ""prime and choice"") sin deshuesar, congelados"
2113200029900,"Carne de búfalo sin deshuesar, congelada, n.c.p."
2113200030000,"Carne de búfalo deshuesada, congelada"
2113300010000,"Carne de cerdo en canales o medias canales, congelada"
2113300020100,"Chuleta de cerdo sin adobar ni condimentar, congelada"
2113300020200,"Costilla de cerdo, sin adobar ni condimentar, congelada"
2113300020300,"Carne de cerdo sin deshuesar, adobada o condimentada, congelada"
2113300029900,"Carne de cerdo sin deshuesar, sin adobar ni condimentar, congelada, n.c.p."
2113300030100,"Carne de cerdo, cortes finos deshuesados sin adobar ni condimentar, congelados, ej. lomo y lomito de cerdo"
2113300030200,"Bistec, posta de cerdo o trocitos de cerdo, deshuesados, sin adobar ni condimentar, congelados"
2113300030300,"Carne de cerdo deshuesada, adobada o condimentada, congelada"
2113300039900,"Carne de cerdo deshuesada, sin adobar ni condimentar, congelados, n.c.p."
2113400000000,"Carne de conejo y liebre, congelada"
2113501010000,"Carne de cordero en canales o medios canales, congelada"
2113501020000,"Carne de cordero sin deshuesar, congelada"
2113501030000,"Carne de cordero deshuesada, congelada"
2113599010000,"Carne de ovino en canal, congelada, excepto cordero"
2113599020000,"Carne de ovino sin deshuesar, congelada, excepto cordero"
2113599030000,"Carne de ovino deshuesada, congelada, excepto cordero"
2113600000000,"Carne de cabra, congelada"
2113800000100,"Carne de caballo y de otros equinos, congelada"
2113800000200,"Carne de las especies asnal o mular, congelada"
2113900000000,"Carne de mamíferos, congelada, n.c.p."
2114100010000,"Pollo entero sin adobar ni condimentar, congelado"
2114100020100,"Pechuga de pollo sin deshuesar, sin adobar ni condimentar, congelada"
2114100020200,"Alas de pollo sin adobar ni condimentar, congeladas (incluye el muslo)"
2114100020300,"Muslos y piernas de pollo, sin piel, sin adobar ni condimentar, congelados"
2114100020400,"Muslos y piernas de pollo, con piel, sin adobar ni condimentar, congelados"
2114100020500,"Muslos y piernas de pollo que incluyan en su presentación otros trozos, incluso unidos, sin adobar ni condimentar, congelados"
2114100020600,"Muslitos de pierna de pollo sin adobar ni condimentar, congelados"
2114100020700,"Pollo sin deshuesar adobado o condimentado, congelado"
2114100030100,"Pechuga de pollo deshuesada, sin adobar ni condimentar, congelada"
2114100030200,"Muslos de pollo deshuesados, sin adobar ni condimentar, congelados"
2114100030300,"Trocitos de pollo (pechuga o muslo) deshuesados, sin adobar ni condimentar, congelados"
2114100030400,"Pollo deshuesado adobado o condimentado, congelado"
2114200010000,"Pato entero, congelado"
2114200020000,"Carne de pato sin deshuesar, congelada"
2114200030000,"Carne de pato deshuesada, congelada"
2114300010000,"Ganso entero, congelado"
2114300020000,"Carne de ganso sin deshuesar, congelada"
2114300030000,"Carne de ganso deshuesada, congelada"
2114400010000,"Pavo entero, congelado"
2114400020000,"Carne de pavo sin deshuesar, congelada"
2114400030000,"Carne de pavo deshuesada, congelada"
2114500010000,"Gallina de guinea entera, congelada"
2114500020000,"Carne de gallina de guinea sin deshuesar, congelada"
2114500030000,"Carne de gallina de guinea deshuesada, congelada"
2115100010100,"Jarrete, hueso de pescuezo, osobuco, rabo y posta con hueso, de res, fresco o refrigerado"
2115100010200,"Hígado de res, fresco o refrigerado"
2115100010300,"Mondongo de res, fresco o refrigerado"
2115100010400,"Lengua de res, fresca o refrigerada"
2115100010500,"Estómagos de res, frescos o refrigerados"
2115100019900,"Tripas, vejigas y demás despojos de res, frescos o refrigerados, n.c.p."
2115100020100,"Jarrete, hueso de pescuezo, osobuco, rabo y posta con hueso, de res, congelado"
2115100020200,"Hígado de res, congelado"
2115100020300,"Mondongo de res, congelado"
2115100020400,"Lengua de res, congelada"
2115100020500,"Estómagos de res, congelados"
2115100029900,"Tripas, vejigas y demás despojos de res, congelados, n.c.p."
2115200010000,"Despojos comestibles de búfalo, frescos o refrigerados"
2115200020000,"Despojos comestibles de búfalo, congelados"
2115300010100,"Pellejo de cerdo, fresco o refrigerado"
2115300010200,"Pezuña de cerdo, fresca o refrigerada"
2115300010300,"Hígado de cerdo, fresco o refrigerado"
2115300010400,"Rabo, cabeza y orejas, de cerdo, frescas o refrigeradas"
2115300019900,"Tripas, vejigas, estómago y otros despojos comestibles de cerdo, frescos o refrigerados"
2115300020100,"Pellejo de cerdo, congelado"
2115300020200,"Pezuña de cerdo, congelada"
2115300020300,"Hígado de cerdo, congelado"
2115300020400,"Rabo, cabeza y orejas, de cerdo, congelados"
2115300029900,"Tripas, vejigas, estómago y otros despojos comestibles de cerdo, congelados"
2115500010000,"Despojos comestibles de ovinos, frescos o refrigerados"
2115500020000,"Despojos comestibles de ovinos, congelados"
2115600010000,"Despojos comestibles de cabra, frescos o refrigerados"
2115600020000,"Despojos comestibles de cabra, congelados"
2115901010000,"Despojos comestibles de caballo, frescos o refrigerados"
2115901020000,"Despojos comestibles de caballo, congelados"
2115902010000,"Despojos comestibles de las especies asnal o mular, frescos o refrigerados"
2115902020000,"Despojos comestibles de las especies asnal o mular, congelados"
2115903010000,"Despojos comestibles de conejo y liebre, frescos o refrigerados"
2115903020000,"Despojos comestibles de conejo y liebre, congelados"
2115999010000,"Despojos comestibles de mamíferos, frescos o refrigerados, n.c.p."
2115999020000,"Despojos comestibles de mamíferos, congelados, n.c.p."
2116001010100,"Pasta de carne de pollo deshuesada mecánicamente, fresca o refrigerada"
2116001019900,"Menudos o vísceras de pollo, frescos o refrigerados, n.c.p."
2116001020100,"Pasta de carne de pollo deshuesada mecánicamente, congelada"
2116001029900,"Menudos o vísceras de pollo, congelados, n.c.p."
2116002010100,"Pasta de carne de pato deshuesada mecánicamente, fresca o refrigerada"
2116002019900,"Despojos comestibles de pato frescos o refrigerados, n.c.p."
2116002020100,"Pasta de carne de pato deshuesada mecánicamente, congelada"
2116002029900,"Despojos comestibles de pato, congelados, n.c.p."
2116003010000,"Despojos comestibles de ganso, frescos o refrigerados"
2116003020000,"Despojos comestibles de ganso, congelados"
2116004010000,"Despojos comestibles de pavo, frescos o refrigerados"
2116004020000,"Despojos comestibles de pavo, congelados"
2116005010000,"Despojos comestibles de gallina de guinea, frescos o refrigerados"
2116005020000,"Despojos comestibles de gallina de guinea, congelados"
2116099010000,"Despojos comestibles de aves de corral, frescos o refrigerados, n.c.p."
2116099020000,"Despojos comestibles de aves de corral, congelados, n.c.p."
2117000000000,"Carnes y despojos comestibles, frescos, refrigerados o congelados, n.c.p."
2118100000100,"Jamones, paletas y sus trozos de cerdo, sin deshuesar; salados, secos o ahumados"
2118100000200,"Tocino entreverado de panza (panceta) y sus trozos de cerdo; salado, seco o ahumado"
2118100009900,"Cortes de cerdo salados, secos o ahumados, n.c.p."
2118200000100,"Carne de res salada, en salmuera, seca o ahumada"
2118200000200,"Carne de búfalo salada, en salmuera, seca o ahumada"
2118301000000,"Carne de caballo, salada, en salmuera, seca o ahumada"
2118302000000,"Carne de conejo y liebre, salada, en salmuera, seca o ahumada"
2118303000000,"Carne de ovino, salada, en salmuera, seca o ahumada"
2118304000100,"Carne de pollo, ahumada"
2118304000200,"Carne de aves, salada, en salmuera, seca o ahumada, n.c.p."
2118304000300,"Hígado de ave, salado o en salmuera"
2118304000400,"Hígado de ave, seco o ahumado"
2118399000100,Harina de polvo de carne o despojos
2118399009900,"Carnes y despojos comestibles de carne salados, en salmuera, secos o ahumados; harinas comestibles y comidas de carne o despojos de carne, n.c.p."
2118401010100,"Chorizo de bovino, sin enlatar o envasar, excepto ahumado"
2118401010200,"Chorizo ahumado de bovino, sin enlatar o envasar"
2118401010300,"Mortadela de bovino, sin enlatar o envasar"
2118401010400,"Salchicha de bovino, sin enlatar o envasar"
2118401010500,"Salchichón de bovino, sin enlatar o envasar"
2118401010600,"Salami de bovino, sin enlatar o envasar"
2118401019900,"Paté y otros embutidos de bovino, sin enlatar o envasar"
2118401020100,"Chorizo de bovino, enlatado o envasado"
2118401020200,"Mortadela de bovino, enlatada o envasada"
2118401020300,"Salchicha de bovino, enlatada o envasada"
2118401020400,"Salchichón de bovino, enlatado o envasado"
2118401020500,"Salami de bovino, enlatado o envasado"
2118401029900,"Paté y otros embutidos de bovino, enlatados o envasados"
2118402010100,"Chorizo de cerdo, sin enlatar o envasar, excepto ahumado"
2118402010200,"Chorizo ahumado de cerdo, sin enlatar o envasar"
2118402010300,"Mortadela de cerdo, sin enlatar o envasar"
2118402010400,"Salchicha de cerdo, sin enlatar o envasar"
2118402010500,"Salchichón de cerdo, sin enlatar o envasar"
2118402010600,"Salami de cerdo, sin enlatar o envasar"
2118402010700,"Jamón de cerdo, sin enlatar o envasar, excepto jamones finos"
2118402019900,"Paté y otros embutidos de cerdo, sin enlatar o envasar"
2118402020100,"Chorizo de cerdo, enlatado o envasado"
2118402020200,"Chorizo ahumado de cerdo, enlatado o envasado"
2118402020300,"Mortadela de cerdo, enlatada o envasada"
2118402020400,"Salchicha de cerdo, enlatada o envasada"
2118402020500,"Salchichón de cerdo, enlatado o envasado"
2118402020600,"Salami de cerdo, enlatado o envasado"
2118402020700,"Jamón de cerdo, enlatado o envasado, excepto jamones finos"
2118402029900,"Paté y otros embutidos de cerdo, enlatados o envasados"
2118403010100,"Mortadela de aves, con contenido de pavo menor a 51%, sin enlatar o envasar"
2118403010200,"Salchicha de aves, con contenido de pavo menor a 51%, sin enlatar o envasar"
2118403010300,"Salchichón de aves, con contenido de pavo menor a 51%, sin enlatar o envasar"
2118403010400,"Embutidos con contenido de pavo mayor al 51%, sin enlatar o envasar"
2118403019900,"Jamón, paté y otros embutidos de aves, con contenido de pavo menor a 51%, sin enlatar o envasar"
2118403020100,"Mortadela de aves, enlatada o envasada"
2118403020200,"Salchicha de aves, enlatada o envasada"
2118403020300,"Salchichón de aves, enlatado o envasado"
2118403029900,"Jamón, paté y otros embutidos de aves, enlatados o envasados"
2118499010100,"Salami, sin enlatar o envasar, n.c.p."
2118499010200,"Mezclas de salami, sin enlatar o envasar, n.c.p."
2118499010300,"Chorizos, mortadelas, salchichas, salchichones y paté, sin enlatar o envasar, n.c.p."
2118499010400,"Mezclas de chorizo, salchichón, mortadela, salchichas y otros embutidos, sin enlatar o envasar, n.c.p."
2118499020100,"Salami, enlatado o envasado, n.c.p."
2118499020200,"Mezclas de salami, enlatados o envasados, n.c.p."
2118499020300,"Chorizos, mortadelas, salchichas, salchichones y patés, enlatados o envasados, n.c.p."
2118499020400,"Mezclas de chorizo, salchichón, mortadela, salchichas y otros embutidos, enlatados o envasados, n.c.p."
2118500000000,"Extractos y jugos de carne, pescado, crustáceos, moluscos o demás invertebrados acuáticos"
2118601000000,"Comidas preparadas a base de carne de bovino, no consumidas en el sitio"
2118602000000,"Comidas preparadas a base de carne de cerdo, no consumidas en el sitio"
2118603000000,"Comidas preparadas a base de carne de aves, no consumidas en el sitio"
2118699000000,"Comidas preparadas a base de carne, no consumidas en el sitio, n.c.p."
2118901000000,"Preparaciones de hígado de animales, refrigeradas o congeladas "
2118902000100,"Jamones finos (serrano, ibérico, entre otros), refrigerados "
2118902000200,Tocino jamonado o preparado de otro modo n.c.p.
2118902009900,"Preparaciones de carne de cerdo, refrigeradas o congeladas, n.c.p."
2118903000100,"Tortas de res, congeladas "
2118903009900,"Preparaciones de carne de res, refrigeradas o congeladas, n.c.p."
2118904000100,"Preformados de pollo (tortas, muslitos y medallones de pollo), congelados"
2118904000200,"Pechuga, trozos y alitas de pollo, empanizados, congelados "
2118904009900,"Preparaciones de carne de pollo, refrigeradas o congeladas, n.c.p."
2118905000000,"Preparaciones de carne de pavo, refrigeradas o congeladas, n.c.p."
2118999000000,"Preparaciones y conservas de carne, despojos o sangre, n.c.p."
2119001000100,"Harina de carne de bovino, no aptos para consumo humano"
2119001000200,"Harina de carne de cerdo, no aptos para consumo humano"
2119001000300,"Harina de carne de aves, no aptos para consumo humano"
2119001009900,"Harina de carne n.c.p., no aptos para consumo humano"
2119002000000,"Polvo y gránulos de carne o despojos, no apto para consumo humano"
2119003000000,"Chicharrones, no aptos para consumo humano"
2121100000100,"Tilapia entera, congelada"
2121100000200,"Bagre o pez gato entero, congelado"
2121100000300,"Carpa entera, congelada"
2121100000400,"Anguila entera, congelada"
2121100009900,"Pescado de agua dulce entero, congelado, n.c.p."
2121200000100,"Salmón entero, congelado"
2121200000200,"Trucha entera, congelado"
2121300000000,"Pescado plano entero, congelado (sollas, lenguados, rodaballos, entre otros)"
2121400000100,"Bacalao entero, congelado"
2121400009900,"Pescado de gadiforme silvestre entero, congelado (eglefinos, carboneros, merlunas, abadejo de Alaska, bacaladillas, pez vela), n.c.p."
2121500000100,"Albacora o atún blanco entero, congelado"
2121500000200,"Atún de aleta amarilla entero, congelado"
2121500000300,"Atún listado o bonito de vientre rayado, entero, congelado"
2121500000400,"Atún ojo grande entero, congelado"
2121500000500,"Atún común de aleta azul, entero, congelado"
2121500009900,"Atún entero, congelado, n.c.p."
2121600000100,"Sardina entera, congelada"
2121600000200,"Caballa (macarela) entera, congelada"
2121600000300,"Pez espada entero, congelado"
2121600009900,"Arenques, jureles, cobias y otros peces pelágicos enteros, congelados"
2121900000100,"Pargo entero, congelado"
2121900000200,"Marlín entero, congelado"
2121900000300,"Corvina entera, congelada"
2121900000400,"Róbalo entero, congelado"
2121900000500,"Cazones y demás escualos, congelados"
2121900009900,"Pescados enteros, congelados, n.c.p."
2122101000100,"Filete de anguila, fresco o refrigerado"
2122101000200,"Filete de atún, fresco o refrigerado"
2122101000300,"Filete de bacalao, fresco o refrigerado"
2122101000400,"Filete de bagre o pez gato, fresco o refrigerado"
2122101000500,"Filete de barracuda, fresco o refrigerado"
2122101000600,"Filete de cabrilla, fresco o refrigerado"
2122101000700,"Filete de congrio, fresco o refrigerado"
2122101000800,"Filete de corvina, fresco o refrigerado"
2122101000900,"Filete de dorado, fresco o refrigerado"
2122101001000,"Filete de lenguado, fresco o refrigerado"
2122101001100,"Filete de marlín, fresco o refrigerado"
2122101001200,"Filete de pangasio, fresco o refrigerado"
2122101001300,"Filete de pargo, fresco o refrigerado"
2122101001400,"Filete de pez espada, fresco o refrigerado"
2122101001500,"Filete de pez vela, fresco o refrigerado"
2122101001600,"Filete de rayas, fresco o refrigerado"
2122101001700,"Filete de salmón, fresco o refrigerado"
2122101001800,"Filete de tiburón (cazones y demás escualos), fresco o refrigerado"
2122101001900,"Filete de tilapia, fresco o refrigerado"
2122101002000,"Filete de trucha, fresco o refrigerado"
2122101009900,"Filete de pescado, fresco o refrigerado, n.c.p."
2122102000100,"Pancitas de tilapia, frescas o refrigeradas"
2122102000200,"Chuleta de caballa (macarela), fresca o refrigerada"
2122102000300,"Chuleta de bolillo, fresca o refrigerada"
2122102000400,"Lomos o chuletas de atún, frescos o refrigerados"
2122102000500,"Lomo de marlín, fresco o refrigerado"
2122102000600,"Lomo de pez vela, fresco o refrigerado"
2122102000700,"Alas, aletas o trocitos de pez raya, frescas o refrigeradas"
2122102000800,"Lechas, aletas, cabezas, colas, vejigas natatorias y demás despojos comestibles de pescado, frescos o refrigerados"
2122102009900,"Carne de pescado (incluso picada), fresca o refrigerada, n.c.p."
2122200000100,"Filete de anguila, congelado"
2122200000200,"Filete de atún, congelado"
2122200000300,"Filete de bacalao, congelado"
2122200000400,"Filete de bagre o pez gato, congelado"
2122200000500,"Filete de barracuda, congelado"
2122200000600,"Filete de cabrilla, congelado"
2122200000700,"Filete de carbonero, congelado"
2122200000800,"Filete de congrio, congelado"
2122200000900,"Filete de corvina, congelado"
2122200001000,"Filete de dorado, congelado"
2122200001100,"Filete de lenguado, congelado"
2122200001200,"Filete de marlín, congelado"
2122200001300,"Filete de merluzas, congelados"
2122200001400,"Filete de pangasio, congelado"
2122200001500,"Filete de pargo, congelado"
2122200001600,"Filete de percas del nilo, congelado"
2122200001700,"Filete de pez espada, congelado"
2122200001800,"Filete de pez vela, congelado"
2122200001900,"Filete de rayas, congelado"
2122200002000,"Filete de salmón, congelado"
2122200002100,"Filete de tiburón (cazones y demás escualos), congelados"
2122200002200,"Filete de tilapia, congelado"
2122200002300,"Filete de trucha, congelado"
2122200009900,"Filete de pescado, congelado, n.c.p."
2122300000100,"Chuleta de caballa (macarela), congelada"
2122300000200,"Chuleta de bolillo, congelada"
2122300000300,"Lomo o chuleta de atún, congelado"
2122300000400,"Lomo de marlín, congelado"
2122300000500,"Lomo de pez vela, congelado"
2122300000600,"Alas, aletas o trocitos de pez raya, congelados"
2122300000700,"Pancitas de tilapia, congeladas"
2122300000800,"Lechas, aletas, cabezas, colas, vejigas natatorias y demás despojos comestibles de pescado, congelados"
2122300009900,"Carne de pescado (incluso picada), congelada, n.c.p."
2122400000100,"Filete de tilapia, bagre, carpas, anguilas y percas del Nilo secos, salados o en salmuera, pero sin ahumar"
2122400000200,"Filete de bacalao seco, salado o en salmuera, pero sin ahumar"
2122400009900,"Filetes de pescados secos, salados o en salmuera, pero sin ahumar n.c.p."
2122500000000,"Hígados y huevas de pescado, frescos o refrigerados"
2122600000000,"Hígados y huevas de pescado, congelados"
2122700000100,"Hígados y huevas de pescado, secos, salados o en salmuera"
2122700000200,"Hígados y huevas de pescado, ahumados"
2123101000100,"Bacalao seco salado, sin ahumar"
2123101000200,"Bacalao seco, sin salar ni ahumar"
2123101000300,"Atún seco, sin ahumar"
2123101009900,"Pescado seco, incluso salado, sin ahumar, n.c.p."
2123102000000,"Pescado salado, sin secar ni ahumar"
2123103000000,Pescado en salmuera
2123200000100,Salmón ahumado
2123200009900,Pescado ahumado n.c.p.
2123300000000,"Harina, polvo y gránulos de pescado, aptos para la alimentación humana"
2123400000000,"Aletas, cabezas, colas, vejigas natatorias y demás despojos comestibles de pescado, seco, salado o no, ahumado o en salmuera"
2124100000000,"Comidas preparadas a base de pescado, moluscos y crustáceos (croquetas, daditos, pescado, camarones, ceviche, entre otros), no consumidos en el sitio"
2124201000000,Salmón marinado
2124202000000,"Sardinas en salsa de tomate, envasadas herméticamente"
2124203010100,"Atún conservado en agua, con vegetales mixtos"
2124203019900,"Atún conservado en agua, n.c.p."
2124203020100,Atún conservado en aceite de oliva
2124203020200,"Atún conservado en aceite, con vegetales mixtos"
2124203020300,"Atún conservado en aceite, con ingredientes adicionales, ej. maíz, jalapeño, palmito, pejibaye, y otros (excepto con vegetales)"
2124203029900,"Atún conservado en aceite, n.c.p."
2124299000000,"Pescado preparado o conservado de otra forma, n.c.p."
2124300000100,"Caviar, envasado o enlatado"
2124300000200,Sucedáneos de caviar
2125100010100,Cangrejos ahumados y congelados
2125100019900,"Cangrejos congelados, excepto ahumados"
2125100020100,"Cangrejos ahumados y secos, salados o en salmuera"
2125100029900,"Cangrejos secos, salados o en salmuera, excepto ahumados"
2125100030000,Cangrejos simplemente ahumados
2125200010100,"Langostas ahumadas y congeladas, sin pelar"
2125200010200,"Langostas ahumadas y congeladas, peladas"
2125200010300,"Langostas congeladas, enteras, sin pelar, excepto ahumadas"
2125200010400,"Langostas congeladas, enteras, peladas, excepto ahumadas"
2125200010500,"Cabezas de langosta congeladas, sin pelar, ahumadas, incluso cocidas antes o durante el ahumado"
2125200010600,"Colas de langosta congeladas, sin pelar, ahumadas, incluso cocidas antes o durante el ahumado"
2125200010700,"Cabezas de langosta congeladas, sin pelar ni ahumar"
2125200010800,"Colas de langosta congeladas, sin pelar ni ahumar"
2125200020100,"Langostas ahumadas y secas, saladas o en salmuera, peladas"
2125200020200,"Langostas secas, saladas o en salmuera, excepto ahumadas, peladas"
2125200030000,"Langostas simplemente ahumadas, incluso peladas o cocidas antes o durante el ahumado"
2125300010100,"Bogavantes ahumados y congelados, incluso pelados o cocidos, antes o durante el ahumado"
2125300019900,"Bogavantes congelados, excepto ahumados"
2125300020100,"Bogavantes ahumados y secos, salados o en salmuera"
2125300029900,"Bogavantes secos, salados o en salmuera, excepto ahumados"
2125300030000,"Bogavantes simplemente ahumados, incluso peladas o cocidas antes o durante el ahumado"
2125400010100,"Cigalas ahumadas y congeladas, incluso pelada o cocida antes o durante el ahumado"
2125400019900,"Cigalas congeladas, excepto ahumadas"
2125400020100,"Cigalas ahumadas y secas, saladas o en salmuera"
2125400029900,"Cigalas secas, saladas o en salmuera, excepto ahumadas"
2125400030000,"Cigalas simplemente ahumadas, incluso pelada o cocida antes o durante el ahumado"
2125501010100,"Camarones de agua fría ahumados y congelados, incluso pelados o cocidos antes o durante el ahumado"
2125501019900,"Camarones de agua fría congelados, excepto ahumados"
2125501020100,"Camarones de agua fría ahumados y secos, salados o en salmuera"
